Node Name,Strategy,Milestone,Target Date,Status
NET Income,Optimize total system cost structure to secure a sustainable net margin across multiple units.,Deploy central procurement analytics software suite,Q2 2025,In Progress
NET Income,Optimize total system cost structure to secure a sustainable net margin across multiple units.,Achieve 4% reduction in non-operational waste streams,Q4 2025,Not Started
Revenue Net Semen,Increase regional export penetration to support sustainable pricing and offset local volume contractions.,Finalize export logistics agreements for new shipping corridors,Q2 2025,In Progress
Revenue Net Semen,Increase regional export penetration to support sustainable pricing and offset local volume contractions.,Acquire regional,Q3 2025,10%
VOLUME (Ribu Ton),Boost production utility and streamline inter-island logistics routes.,Optimize vessel payload schedules with predictive routing tools,Q1 2025,Completed
VOLUME (Ribu Ton),Boost production utility and streamline inter-island logistics routes.,Consolidate coastal dry bulk warehouses for seamless supply transfers,Q3 2025,In Progress
ASP NET (Rp. Ribu),Optimize dynamic pricing models in key target markets.,Roll out multi-tiered corporate discount schedule limits,Q2 2025,Completed
ASP NET (Rp. Ribu),Optimize dynamic pricing models in key target markets.,Implement competitive market pricing tracking scripts,Q4 2025,In Progress
Revenue Net Non Semen,Expand logistics and storage solutions business models to drive high-margin non-cement revenues.,Complete structural upgrades for secondary logistics container depots,Q2 2025,In Progress
SIB (Rp. Milyar),Improve commercial sales pipeline for concrete additives.,Establish concrete additive distribution partnerships with local co-ops,Q2 2025,In Progress
SBB (Rp. Milyar),Optimize ready-mix batching plant locations and delivery times.,Deploy GPS vehicle tracking software across concrete delivery mixer trucks,Q1 2025,Completed
Var Cost,Secure long-term energy contracts and transition to eco-friendly fuel alternatives.,Complete alternative biomass preprocessing mill engineering plans,Q2 2025,In Progress
Var Cost,Secure long-term energy contracts and transition to eco-friendly fuel alternatives.,Increase the secondary fuel kiln utilization threshold rate to 18%,Q4 2025,Not Started
Listrik,Deploy Waste Heat Recovery Systems (WHRS) at all primary kilns.,Install secondary generator exhaust heat collection ducts at kiln 4,Q3 2025,In Progress
Revenue Net Semen,Meningkatkan penjualan main brand,test,Q3 2027,100%
SKI (Rp. Milyar),Meningkatkan penjualan,Mencari customer baru,Q3 2027,0%
Revenue Net Non Semen,,analisa pasar,TBD,100%
Revenue Net Non Semen,,Eksekusi,Q4,100%